EDX cell sector AFP compatibility matrix
   52   13.00    8.00    1.76    1.00
ABAD0001    20.65   483.75    14.19    4    4    0    1
    8   29   82  120
     ABAD0001   0.0
     ABAE0002   0.1
     ABAE0003  33.2
     ABAG0003   0.7
     ABAH0003   0.0
     ABAH0004   1.5
     ABAH0005   3.9
     ABAI0001   0.0
     ABAI0002   0.0
     ABAI0003   0.0
     ABAJ0001   0.2
     ABAJ0002   0.0
     ABAJ0003   0.0
     ABAK0001   0.1
     ABAK0002   0.1
     ABAK0003   0.0
     ABAL0001  56.2
     ABAL0002   8.1
     ABAL0003   0.0
     ABAM0001   0.0
     ABAM0002   1.1
     ABAM0003   0.0
     ABAN0001  22.1
     ABAN0002  32.2
     ABAN0003   0.0
     ABAO0001   0.0
     ABAP0001   0.0
     ABAP0002   0.0
     ABAP0003   0.0
     ABAQ0001  35.1
     ABAR0001   3.5
     ABAR0002   0.3
     ABAR0003   0.0
     ABAS0001  28.9
     ABAS0002   1.5
     ABAT0001   1.3
     ABAU0001   2.7
     ABAU0002   0.0
     ABAU0003   0.0
     ABAV0003   0.0
     ABAW0001   0.0
     ABAW0003   0.0
     ABAX0001   0.0
     ABAY0003   0.0
     ABAZ0003   0.3
     ABAZ0004  18.3
     ABBA0001  51.8
     ABBB0001   0.0
     ABBC0001   0.0
     ABBC0002   3.9
     ABAF0001   0.0
     ABAF0003   0.0
ABAE0002    35.72   204.14     5.99    2    2    0    2
   44   73
     ABAD0001   0.0
     ABAE0002   0.0
     ABAE0003  15.4
     ABAG0003   0.0
     ABAH0003   0.0
     ABAH0004   0.0
     ABAH0005   0.0
     ABAI0001   0.0
     ABAI0002   0.0
     ABAI0003   0.0
     ABAJ0001   0.0
     ABAJ0002   0.0
     ABAJ0003   0.0
     ABAK0001   3.0
     ABAK0002   0.0
     ABAK0003   0.0
     ABAL0001  35.0
     ABAL0002   0.0
     ABAL0003   8.7
     ABAM0001   1.4
     ABAM0002   0.1
     ABAM0003   0.0
     ABAN0001  42.3
     ABAN0002   0.0
     ABAN0003   6.1
     ABAO0001   0.1
     ABAP0001   0.2
     ABAP0002   0.0
     ABAP0003   0.0
     ABAQ0001  11.9
     ABAR0001   1.0
     ABAR0002   0.0
     ABAR0003   0.7
     ABAS0001  10.4
     ABAS0002   0.0
     ABAT0001  41.2
     ABAU0001   0.0
     ABAU0002   0.0
     ABAU0003   0.0
     ABAV0003   0.0
     ABAW0001   0.2
     ABAW0003   0.0
     ABAX0001   0.0
     ABAY0003   0.2
     ABAZ0003   0.2
     ABAZ0004  13.7
     ABBA0001  59.9
     ABBB0001   0.1
     ABBC0001   0.0
     ABBC0002   0.0
     ABAF0001   0.0
     ABAF0003   0.0
ABAE0003    32.12   344.66    10.11    3    3    0    2
   21   96  117
     ABAD0001   9.5
     ABAE0002  19.2
     ABAE0003   0.0
     ABAG0003   0.6
     ABAH0003   0.0
     ABAH0004   0.4
     ABAH0005   1.1
     ABAI0001   0.0
     ABAI0002   0.0
     ABAI0003   0.0
     ABAJ0001   0.0
     ABAJ0002   0.0
     ABAJ0003   0.0
     ABAK0001   0.7
     ABAK0002   0.0
     ABAK0003   0.0
     ABAL0001  48.4
     ABAL0002   1.8
     ABAL0003   0.1
     ABAM0001   0.0
     ABAM0002   0.2
     ABAM0003   0.0
     ABAN0001  40.5
     ABAN0002   4.4
     ABAN0003   0.0
     ABAO0001   0.0
     ABAP0001   0.0
     ABAP0002   0.0
     ABAP0003   0.0
     ABAQ0001  37.0
     ABAR0001   1.1
     ABAR0002   0.2
     ABAR0003   0.0
     ABAS0001   7.2
     ABAS0002   0.8
     ABAT0001  32.9
     ABAU0001   1.1
     ABAU0002   0.0
     ABAU0003   0.0
     ABAV0003   0.0
     ABAW0001   0.0
     ABAW0003   0.0
     ABAX0001   0.0
     ABAY0003   0.0
     ABAZ0003   0.1
     ABAZ0004   9.9
     ABBA0001  59.3
     ABBB0001   0.0
     ABBC0001   0.0
     ABBC0002   1.6
     ABAF0001   0.0
     ABAF0003   0.0
