Temp. level:    0.087     Acceptance ratio:    0.000     Current cost:        1.103
Temp. level:    0.085     Acceptance ratio:    0.000     Current cost:        1.101
Temp. level:    0.082     Acceptance ratio:    0.000     Current cost:        1.101
Temp. level:    0.080     Acceptance ratio:    0.000     Current cost:        1.110
Temp. level:    0.077     Acceptance ratio:    0.001     Current cost:        1.093
Temp. level:    0.075     Acceptance ratio:    0.000     Current cost:        1.082
Temp. level:    0.073     Acceptance ratio:    0.000     Current cost:        1.077
Temp. level:    0.071     Acceptance ratio:    0.000     Current cost:        1.077
Temp. level:    0.069     Acceptance ratio:    0.000     Current cost:        1.077
Temp. level:    0.066     Acceptance ratio:    0.000     Current cost:        1.077
Temp. level:    0.064     Acceptance ratio:    0.000     Current cost:        1.077
Temp. level:    0.063     Acceptance ratio:    0.000     Current cost:        1.059
Temp. level:    0.061     Acceptance ratio:    0.000     Current cost:        1.059
Temp. level:    0.059     Acceptance ratio:    0.000     Current cost:        1.053
Temp. level:    0.057     Acceptance ratio:    0.000     Current cost:        1.053
Temp. level:    0.055     Acceptance ratio:    0.000     Current cost:        1.053
Temp. level:    0.054     Acceptance ratio:    0.001     Current cost:        0.954
Temp. level:    0.052     Acceptance ratio:    0.000     Current cost:        0.952
Temp. level:    0.051     Acceptance ratio:    0.000     Current cost:        0.955
Temp. level:    0.049     Acceptance ratio:    0.000     Current cost:        0.955
Temp. level:    0.048     Acceptance ratio:    0.000     Current cost:        0.955
Temp. level:    0.046     Acceptance ratio:    0.000     Current cost:        0.948
Temp. level:    0.045     Acceptance ratio:    0.001     Current cost:        0.887
Temp. level:    0.043     Acceptance ratio:    0.000     Current cost:        0.865
Temp. level:    0.042     Acceptance ratio:    0.000     Current cost:        0.865
Temp. level:    0.041     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.040     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.038     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.037     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.036     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.035     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.034     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.033     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.032     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.031     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.030     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.029     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.028     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.027     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.027     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.026     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.025     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.024     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.024     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.023     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.022     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.022     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.021     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.020     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.020     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.019     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.018     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.018     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.017     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.017     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.016     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.016     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.015     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.015     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.014     Acceptance ratio:    0.000     Current cost:        0.864
Temp. level:    0.014     Acceptance ratio:    0.000     Current cost:        0.859
Temp. level:    0.014     Acceptance ratio:    0.000     Current cost:        0.859
Temp. level:    0.013     Acceptance ratio:    0.000     Current cost:        0.859
Temp. level:    0.013     Acceptance ratio:    0.001     Current cost:        0.849
Temp. level:    0.012     Acceptance ratio:    0.000     Current cost:        0.833
Temp. level:    0.012     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.012     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.011     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.011     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.011     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.010     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.010     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.010     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.009     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.009     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.009     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.009     Acceptance ratio:    0.000     Current cost:        0.831
Temp. level:    0.008     Acceptance ratio:    0.000     Current cost:        0.831
